city,state,area_miles,year,population,density
Atlanta,GA,3657.47,2020,5803000,1586.62
Atlanta,GA,3657.47,2021,5911000,1616.14
Atlanta,GA,3657.47,2022,6013000,1644.03
Atlanta,GA,3657.47,2023,6106000,1669.46
Atlanta,GA,3657.47,2024,6193000,1693.25
Birmingham,AL,1488.16,2020,842000,565.8
Birmingham,AL,1488.16,2021,849000,570.5
Birmingham,AL,1488.16,2022,856000,575.21
Birmingham,AL,1488.16,2023,863000,579.91
Birmingham,AL,1488.16,2024,871000,585.29
Charleston,SC,1426.25,2020,708000,496.41
Charleston,SC,1426.25,2021,721000,505.52
Charleston,SC,1426.25,2022,734000,514.64
Charleston,SC,1426.25,2023,745000,522.35
Charleston,SC,1426.25,2024,756000,530.06
Chattanooga,TN,828.38,2020,421000,508.22
Chattanooga,TN,828.38,2021,423000,510.64
Chattanooga,TN,828.38,2022,426000,514.26
Chattanooga,TN,828.38,2023,430000,519.09
Chattanooga,TN,828.38,2024,433000,522.71
Cleveland,MS,19.63,2020,1763000,89811.51
Cleveland,MS,19.63,2021,1760000,89658.69
Cleveland,MS,19.63,2022,1761000,89709.63
Cleveland,MS,19.63,2023,1764000,89862.46
Cleveland,MS,19.63,2024,1771000,90219.05
Columbia,SC,1572.46,2020,716000,455.34
Columbia,SC,1572.46,2021,730000,464.24
Columbia,SC,1572.46,2022,743000,472.51
Columbia,SC,1572.46,2023,755000,480.14
Columbia,SC,1572.46,2024,766000,487.13
Huntsville,AL,958.12,2020,384000,400.78
Huntsville,AL,958.12,2021,392000,409.13
Huntsville,AL,958.12,2022,400000,417.48
Huntsville,AL,958.12,2023,407000,424.79
Huntsville,AL,958.12,2024,414000,432.1
Knoxville,TN,816.03,2020,741000,908.05
Knoxville,TN,816.03,2021,756000,926.44
Knoxville,TN,816.03,2022,771000,944.82
Knoxville,TN,816.03,2023,784000,960.75
Knoxville,TN,816.03,2024,796000,975.45
Little Rock,AR,724.67,2020,514000,709.29
Little Rock,AR,724.67,2021,521000,718.95
Little Rock,AR,724.67,2022,527000,727.23
Little Rock,AR,724.67,2023,533000,735.51
Little Rock,AR,724.67,2024,539000,743.79
Louisville,KY,1048.12,2020,1089000,1039.0
Louisville,KY,1048.12,2021,1098000,1047.59
Louisville,KY,1048.12,2022,1107000,1056.18
Louisville,KY,1048.12,2023,1116000,1064.76
Louisville,KY,1048.12,2024,1126000,1074.3
Memphis,TN,1232.87,2020,1150000,932.78
Memphis,TN,1232.87,2021,1156000,937.65
Memphis,TN,1232.87,2022,1163000,943.33
Memphis,TN,1232.87,2023,1170000,949.01
Memphis,TN,1232.87,2024,1179000,956.31
Nashville,TN,2121.45,2020,1249000,588.75
Nashville,TN,2121.45,2021,1272000,599.59
Nashville,TN,2121.45,2022,1294000,609.96
Nashville,TN,2121.45,2023,1315000,619.86
Nashville,TN,2121.45,2024,1333000,628.34
Myrtle Beach,SC,530.93,2020,377000,710.07
Myrtle Beach,SC,530.93,2021,393000,740.21
Myrtle Beach,SC,530.93,2022,408000,768.46
Myrtle Beach,SC,530.93,2023,421000,792.95
Myrtle Beach,SC,530.93,2024,432000,813.67
Richmond,VA,737.35,2020,1105000,1498.61
Richmond,VA,737.35,2021,1117000,1514.88
Richmond,VA,737.35,2022,1128000,1529.8
Richmond,VA,737.35,2023,1140000,1546.08
Richmond,VA,737.35,2024,1151000,1561.0
Savannah,GA,607.97,2020,324000,532.92
Savannah,GA,607.97,2021,329000,541.15
Savannah,GA,607.97,2022,334000,549.37
Savannah,GA,607.97,2023,339000,557.59
Savannah,GA,607.97,2024,343000,564.17
Mobile,AL,683.97,2020,333000,486.86
Mobile,AL,683.97,2021,333000,486.86
Mobile,AL,683.97,2022,334000,488.33
Mobile,AL,683.97,2023,335000,489.79
Mobile,AL,683.97,2024,337000,492.71
Kansas City,MO,2703.65,2020,1686000,623.6
Kansas City,MO,2703.65,2021,1698000,628.04
Kansas City,MO,2703.65,2022,1711000,632.85
Kansas City,MO,2703.65,2023,1725000,638.03
Kansas City,MO,2703.65,2024,1739000,643.2
Springfield,MO,368.02,2020,669000,1817.84
Springfield,MO,368.02,2021,672000,1825.99
Springfield,MO,368.02,2022,676000,1836.86
Springfield,MO,368.02,2023,680000,1847.73
Springfield,MO,368.02,2024,685000,1861.31
Jackson,MS,639.64,2020,420000,656.62
Jackson,MS,639.64,2021,426000,666.0
Jackson,MS,639.64,2022,431000,673.82
Jackson,MS,639.64,2023,436000,681.63
Jackson,MS,639.64,2024,441000,689.45
