reporting_area,state_code,lat,lang,CO,NO2,OZONE,PM10,PM2.5,date,year,month,weekday,month_name,AQI
Aberdeen,WA,46.9725,-123.8317,,,,,46,1/1/2019 0:00,2019,1,1,January,46
Adirondacks Region,NY,44.271,-74.2693,,,31,,18,1/1/2019 0:00,2019,1,1,January,31
Aiken-Augusta - SC/GA,SC,33.37,-81.97,,,0,17,40,1/1/2019 0:00,2019,1,1,January,40
Albany,OR,44.6157,-123.0915,,,,,85,1/1/2019 0:00,2019,1,1,January,85
Albuquerque,NM,35.0833,-106.6511,,,34,23,56,1/1/2019 0:00,2019,1,1,January,56
Alexandria,LA,31.3101,-92.4401,,,23,,53,1/1/2019 0:00,2019,1,1,January,53
Altoona,PA,40.5187,-78.3947,,,20,,67,1/1/2019 0:00,2019,1,1,January,67
Amarillo,TX,35.222,-101.8313,,,30,,15,1/1/2019 0:00,2019,1,1,January,30
Anacortes,WA,48.5205,-122.6142,,,16,,25,1/1/2019 0:00,2019,1,1,January,25
Anchorage,AK,61.2167,-149.9,,,,,17,1/1/2019 0:00,2019,1,1,January,17
Ann Arbor,MI,42.2754,-83.7308,,,,,39,1/1/2019 0:00,2019,1,1,January,39
Antelope Vly,CA,34.6694,-118.1305,3,9,37,19,29,1/1/2019 0:00,2019,1,1,January,37
Anza Vly,CA,33.5603,-116.7659,3,9,40,21,30,1/1/2019 0:00,2019,1,1,January,40
Apache Junction,AZ,33.4214,-111.5436,,,30,11,,1/1/2019 0:00,2019,1,1,January,30
Applegate Valley,OR,42.2901,-123.2321,,,,,70,1/1/2019 0:00,2019,1,1,January,70
Aquinnah,MA,41.33,-70.79,,,37,,,1/1/2019 0:00,2019,1,1,January,37
Arden Arcade-Del Paso Manor,CA,38.6138,-121.368,,,31,,102,1/1/2019 0:00,2019,1,1,January,102
Ashland,OR,42.1941,-122.7086,,,,,65,1/1/2019 0:00,2019,1,1,January,65
Atascadero,CA,35.49,-120.69,,,34,19,54,1/1/2019 0:00,2019,1,1,January,54
Atlanta,GA,33.65,-84.43,,,20,22,42,1/1/2019 0:00,2019,1,1,January,42
Auburn,CA,38.8963,-121.0784,,,35,,76,1/1/2019 0:00,2019,1,1,January,76
Aurora/Elgin,IL,41.9151,-88.3059,,,24,,,1/1/2019 0:00,2019,1,1,January,24
Austin,TX,30.267,-97.734,,,19,,53,1/1/2019 0:00,2019,1,1,January,53
Badlands,SD,43.7456,-101.9412,,,33,9,16,1/1/2019 0:00,2019,1,1,January,33
Baker City,OR,44.7882,-117.8446,,,,,57,1/1/2019 0:00,2019,1,1,January,57
Baker County,FL,30.3931,-82.3018,,,31,,27,1/1/2019 0:00,2019,1,1,January,31
Bakersfield,CA,35.3577,-119.0046,,,21,,95,1/1/2019 0:00,2019,1,1,January,95
Banning,CA,33.9208,-116.8583,5,9,39,21,38,1/1/2019 0:00,2019,1,1,January,39
Barstow,CA,34.8938,-117.0244,6,9,46,54,21,1/1/2019 0:00,2019,1,1,January,54
Baskett,KY,37.87,-87.46,,,,,72,1/1/2019 0:00,2019,1,1,January,72
Baton Rouge Area,LA,30.449,-91.126,,,34,,63,1/1/2019 0:00,2019,1,1,January,63
Bay and Gulf Counties,FL,30.104,-85.467,,,31,,29,1/1/2019 0:00,2019,1,1,January,31
Beaumont-Port Arthur,TX,30.083,-94.1,,,25,,52,1/1/2019 0:00,2019,1,1,January,52
Beaverton,OR,45.4702,-122.8159,,,,,80,1/1/2019 0:00,2019,1,1,January,80
Belle Glade,FL,26.7241,-80.663,,,,,22,1/1/2019 0:00,2019,1,1,January,22
Bellingham,WA,48.7625,-122.4419,,,28,,31,1/1/2019 0:00,2019,1,1,January,31
Bend,OR,44.0639,-121.3126,,,,,50,1/1/2019 0:00,2019,1,1,January,50
Bennington,VT,42.8975,-73.2508,,,31,,42,1/1/2019 0:00,2019,1,1,January,42
Benton Harbor,MI,42.1167,-86.4542,,,,,28,1/1/2019 0:00,2019,1,1,January,28
Bethel,AK,60.792,-161.756,,,,5,13,1/1/2019 0:00,2019,1,1,January,13
Beulah,ND,47.2986,-101.7669,,,34,6,21,1/1/2019 0:00,2019,1,1,January,34
Big Bear Lake,CA,34.1734,-116.8851,3,9,34,21,29,1/1/2019 0:00,2019,1,1,January,34
Big Horn County,WY,44.28,-108.04,,,20,,,1/1/2019 0:00,2019,1,1,January,20
Birmingham,AL,33.56,-86.75,,,24,14,41,1/1/2019 0:00,2019,1,1,January,41
Birney,MT,45.3662,-106.4898,,,24,9,13,1/1/2019 0:00,2019,1,1,January,24
Bishop,CA,37.3615,-118.3952,,,36,19,21,1/1/2019 0:00,2019,1,1,January,36
Bishop Paiute Tribe,CA,37.3667,-118.4167,,,28,,21,1/1/2019 0:00,2019,1,1,January,28
Bismarck,ND,46.8253,-100.7681,,,30,,21,1/1/2019 0:00,2019,1,1,January,30
Bloomington/Normal,IL,40.493,-88.9803,,,17,,30,1/1/2019 0:00,2019,1,1,January,30
Boise,ID,43.6361,-116.2033,,,31,28,63,1/1/2019 0:00,2019,1,1,January,63
Boston,MA,42.351,-71.051,,,28,,53,1/1/2019 0:00,2019,1,1,January,53
Bowling Green,KY,36.9685,-86.4808,,,,,28,1/1/2019 0:00,2019,1,1,January,28
Bozeman,MT,45.6838,-111.0563,,,,,51,1/1/2019 0:00,2019,1,1,January,51
Brainerd,MN,46.3944,-94.1433,,,,,30,1/1/2019 0:00,2019,1,1,January,30
Brawley,CA,32.9783,-115.5383,,,,61,84,1/1/2019 0:00,2019,1,1,January,84
Bremerton-Silverdale-Bainbridge Island,WA,47.64,-122.647,,,,,70,1/1/2019 0:00,2019,1,1,January,70
Bridgeport,CT,41.184,-73.19,,,,19,55,1/1/2019 0:00,2019,1,1,January,55
Brigantine,NJ,39.4647,-74.4489,,,30,,45,1/1/2019 0:00,2019,1,1,January,45
Brigham City,UT,41.5102,-112.0156,,,31,,24,1/1/2019 0:00,2019,1,1,January,31
Broadus,MT,45.4403,-105.3703,,,27,11,25,1/1/2019 0:00,2019,1,1,January,27
Brockton,MA,42.065,-71.013,,,34,,47,1/1/2019 0:00,2019,1,1,January,47
Brookings,SD,44.3486,-96.8073,,,36,29,14,1/1/2019 0:00,2019,1,1,January,36
Brownsville-McAllen,TX,25.9019,-97.4975,,,29,,57,1/1/2019 0:00,2019,1,1,January,57
Burlington,VT,44.467,-73.201,,,31,,52,1/1/2019 0:00,2019,1,1,January,52
Burns,OR,43.5893,-119.0487,,,,,65,1/1/2019 0:00,2019,1,1,January,65
Butte,MT,46.0024,-112.5009,,,,16,30,1/1/2019 0:00,2019,1,1,January,30
C San Bernardino M,CA,34.2413,-117.2755,3,9,38,21,23,1/1/2019 0:00,2019,1,1,January,38
C San Bernardino-1,CA,34.1005,-117.4919,8,9,41,24,42,1/1/2019 0:00,2019,1,1,January,42
C San Bernardino-2,CA,34.1066,-117.2736,8,9,41,24,42,1/1/2019 0:00,2019,1,1,January,42
