city,state,2020,2020_density,2021,2021_density,2022,2022_density,2023,2023_density,2024,2024_density,area_miles
Atlanta,GA,5803000,1586.62,5911000,1616.14,6013000,1644.03,6106000,1669.46,6193000,1693.25,3657.47
Birmingham,AL,842000,565.8,849000,570.5,856000,575.21,863000,579.91,871000,585.29,1488.16
Charleston,SC,708000,496.41,721000,505.52,734000,514.64,745000,522.35,756000,530.06,1426.25
Chattanooga,TN,421000,508.22,423000,510.64,426000,514.26,430000,519.09,433000,522.71,828.38
Cleveland,MS,1763000,89811.51,1760000,89658.69,1761000,89709.63,1764000,89862.46,1771000,90219.05,19.63
Columbia,SC,716000,455.34,730000,464.24,743000,472.51,755000,480.14,766000,487.13,1572.46
Huntsville,AL,384000,400.78,392000,409.13,400000,417.48,407000,424.79,414000,432.1,958.12
Knoxville,TN,741000,908.05,756000,926.44,771000,944.82,784000,960.75,796000,975.45,816.03
Little Rock,AR,514000,709.29,521000,718.95,527000,727.23,533000,735.51,539000,743.79,724.67
Louisville,KY,1089000,1039.0,1098000,1047.59,1107000,1056.18,1116000,1064.76,1126000,1074.3,1048.12
Memphis,TN,1150000,932.78,1156000,937.65,1163000,943.33,1170000,949.01,1179000,956.31,1232.87
Nashville,TN,1249000,588.75,1272000,599.59,1294000,609.96,1315000,619.86,1333000,628.34,2121.45
Myrtle Beach,SC,377000,710.07,393000,740.21,408000,768.46,421000,792.95,432000,813.67,530.93
Richmond,VA,1105000,1498.61,1117000,1514.88,1128000,1529.8,1140000,1546.08,1151000,1561.0,737.35
Savannah,GA,324000,532.92,329000,541.15,334000,549.37,339000,557.59,343000,564.17,607.97
Mobile,AL,333000,486.86,333000,486.86,334000,488.33,335000,489.79,337000,492.71,683.97
Kansas City,MO,1686000,623.6,1698000,628.04,1711000,632.85,1725000,638.03,1739000,643.2,2703.65
Springfield,MO,669000,1817.84,672000,1825.99,676000,1836.86,680000,1847.73,685000,1861.31,368.02
Jackson,MS,420000,656.62,426000,666.0,431000,673.82,436000,681.63,441000,689.45,639.64
